id,createdAt,updatedAt,profileApproved,subscriptionActive,typeOfBusiness,companyType,companyNameEn,companyNameEs,contactNameEn,contactNameEs,streetAddress,city,state,zipCode,mobilePhoneNumber,officePhoneNumber,emailAddress,websiteUrl,image,rating,reviewsEn,reviewsEs,experience,languagesEn,languagesEs,educationEn,educationEs,specialtiesEn,specialtiesEs,consultationFeeEn,consultationFeeEs,bioEn,bioEs,videoConsultation,featured
,,,,,legal,Immigration Attorney,Velkova Law,,Olga Velkova,,"65 East State Street,  Suite 1550",Columbus,OH,43215,(877) 479-4872,(877) 479-4872,olga@velkovalaw.com,https://www.velkovalaw.com,/placeholder.svg,4.6,48,,12,English; Russian,,Capital University Law School,,Immigration,,Paid Consultation,,"Olga Velkova is an experienced immigration attorney practicing in Columbus, Ohio. She provides comprehensive immigration services to individuals and families.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Shor Immigration Law,,Adam Eric Shor,,65 E State St #1550,Columbus,OH,43215,(877) 479-4872,(877) 479-4872,adam@shorlaw.com,https://www.shorlaw.com,/placeholder.svg,4.7,63,,15,English,,Vermont Law School,,Immigration,,Paid Consultation,,Adam Eric Shor has 15 years of experience in immigration law. He focuses on helping clients navigate the complex immigration system.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Yazdani Law Office,,Payam Yazdani,,"175 South Third Street,  Suite 1010",Columbus,OH,43215,(614) 961-4414,(614) 961-4414,payam@yazdanilaw.com,https://www.yazdanilaw.com,/placeholder.svg,4.5,42,,8,English; Farsi,,Ohio State University Moritz College of Law,,Immigration,,Paid Consultation,,"Payam Yazdani provides comprehensive immigration services to clients in Columbus, Ohio and surrounding areas.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Itayim Law Group,,Bano Itayim,,250 E Broad St #250,Columbus,OH,43215,(800) 296-8479,(800) 296-8479,bano@itayimlaw.com,https://www.itayimlaw.com,/placeholder.svg,4.8,57,,15,English; Arabic,,Western Michigan University Cooley Law School,,Immigration; Juvenile,,Paid Consultation,,Bano Itayim has 15 years of experience in immigration and juvenile law. She is dedicated to helping clients achieve their immigration goals.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Hutchison Law Office,,Lawrence James Hutchison,,933 High St,Columbus,OH,43085,(614) 330-1359,(614) 330-1359,lawrence@hutchisonlaw.com,https://www.hutchisonlaw.com,/placeholder.svg,4.9,98,,44,English,,Ohio State University,,Immigration; Business,,Paid Consultation,,"Lawrence James Hutchison brings 44 years of experience to his immigration and business law practice in Columbus, Ohio.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Zamora Legal,,Kevin Zamora,,555 City Park Ave.,Columbus,OH,43215,(614) 937-3628,(614) 937-3628,kevin@zamoralegal.com,https://www.zamoralegal.com,/placeholder.svg,4.6,31,,5,English; Spanish,,Capital University Law School,,Immigration; Criminal; DUI; Divorce,,Free Consultation,,"Kevin Zamora is a multilingual attorney with 5 years of experience in immigration, criminal defense, DUI, and divorce matters.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Street Law,,Katie Street,,"175 S 3rd St,  Suite 200",Columbus,OH,43215,(614) 285-4419,(614) 285-4419,katie@streetlaw.com,https://www.streetlaw.com,/placeholder.svg,4.7,39,,7,English,,Capital University Law School,,Immigration; Business; Employment; Family,,Paid Consultation,,"Katie Street provides legal services in immigration, business, employment, and family law, offering comprehensive solutions to clients in Columbus.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Vivekanandam Immigration Law,,Cynthia Vivekanandam,,"10 West Broad Street,  Suite 2300",Columbus,OH,43215,(614) 464-1211,(614) 464-1211,cynthia@vivekanandamlaw.com,https://www.vivekanandamlaw.com,/placeholder.svg,4.6,58,,9,English; Tamil,,DePaul College of Law,,Immigration,,Paid Consultation,,Cynthia Vivekanandam specializes in immigration law with 9 years of experience. She provides personalized attention to clients navigating the complex immigration system.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Simakovsky Law,,Inna Simakovsky,,"250 Civic Center Drive,  Plaza One,  Suite 650",Columbus,OH,43215,(614) 599-0819,(614) 599-0819,info@simakovskylaw.com,https://www.simakovskylaw.com,/placeholder.svg,4.7,82,,27,English; Russian,,Capital University Law School,,Immigration,,Paid Consultation,,Inna Simakovsky brings 27 years of experience in immigration law to help clients navigate the complex immigration system.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Walker Law Firm,,Brian A Walker,,"6877 North High Street,  Suite 300",Worthington,OH,43085,(614) 228-4992,(614) 228-4992,brian@walkerlawfirm.com,https://www.walkerlawfirm.com,/placeholder.svg,4.8,95,,36,English,,Ohio State University,,Immigration; Personal Injury,,Paid Consultation,,Brian A Walker has 36 years of experience practicing immigration and personal injury law in Ohio.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Bell Immigration Law,,Jessica Dawn Bell,,"6797 N. High Street,  Ste. 236",Worthington,OH,43085,(614) 444-2355,(614) 444-2355,jessica@bellimmigrationlaw.com,https://www.bellimmigrationlaw.com,/placeholder.svg,4.5,47,,8,English,,Capital University Law School,,Immigration,,Paid Consultation,,Jessica Dawn Bell provides comprehensive immigration legal services to clients in the Worthington area.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Smith Immigration Law,,Charles E. Smith,,"595 East Broad Street,  Suite 210",Columbus,OH,43215,(614) 962-4919,(614) 962-4919,charles@smithimmigrationlaw.com,https://www.smithimmigrationlaw.com,/placeholder.svg,4.6,53,,12,English,,Ohio State University,,Immigration,,Paid Consultation,,Charles E. Smith provides personalized immigration legal assistance to clients throughout Columbus.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Cox Immigration Law,,Caroline Cox,,"789 Dennison Ave,  APT 304",Columbus,OH,43215,(502) 599-7776,(502) 599-7776,caroline@coximmigrationlaw.com,https://www.coximmigrationlaw.com,/placeholder.svg,4.4,38,,7,English,,University of Louisville,,Immigration,,Paid Consultation,,Caroline Cox provides dedicated immigration legal services from her practice in Columbus.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Brown Legal,,Rubururage Brown,,4737 Reed Rd Ste # 188,Upper Arlington,OH,43220,(614) 598-5807,(614) 598-5807,brown@brownlegal.com,https://www.brownlegal.com,/placeholder.svg,4.3,24,,4,English,,Mitchell Hamline School of Law,,Immigration; Family; IP,,Paid Consultation,,"Rubururage Brown practices immigration, family, and intellectual property law with 4 years of experience in Upper Arlington.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Adesioye Law,,Bibie Adesioye,,5965 Westerville Rd,Columbus,OH,43081,(614) 300-2884,(614) 300-2884,bibie@adesioyelaw.com,https://www.adesioyelaw.com,/placeholder.svg,4.7,72,,20,English,,University System of Georgia - University of Georgia,,Immigration,,Paid Consultation,,"Bibie Adesioye has 20 years of experience in immigration law, providing comprehensive legal services to clients in Columbus.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Perez Law Office,,Jay Perez,,"5930 Venture Dr.,  Ste D",Dublin,OH,43017,(614) 515-4950,(614) 515-4950,jay@perezlawoffice.com,https://www.perezlawoffice.com,/placeholder.svg,4.8,87,,27,English; Spanish,,Capital University Law School,,Immigration; Criminal; Divorce,,Free Consultation,,"Jay Perez has 27 years of experience practicing immigration, criminal, and divorce law. Offers free consultations and video conferencing.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Olawale Law,,Emmanuel Omobolaji Olawale,,"385 County Line Road West,  Suite 160",Westerville,OH,43082,(614) 392-2556,(614) 392-2556,emmanuel@olawalelaw.com,https://www.olawalelaw.com,/placeholder.svg,4.6,68,,19,English,,Capital University Law School,,Immigration; Personal Injury,,Paid Consultation,,Emmanuel Omobolaji Olawale practices immigration and personal injury law with 19 years of experience. Offers video conferencing for consultations.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Amanda B Cook Law Office,,Amanda B Cook,,"2740 Zelda Road,  4th Floor",Montgomery,AL,36106,(334) 356-7879,(334) 356-7879,contact@amandacooklaw.com,https://www.amandacooklaw.com,https://images.unsplash.com/photo-1559894204-e8a66aadedee?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.7,52,,12,English,,"Thomas Goode Jones School of Law, Faulkner University",,Immigration; Business; Personal Injury; Real Estate,,Paid Consultation,,Amanda B Cook is a Montgomery-based attorney with 12 years of experience focusing on immigration and business law cases. She provides comprehensive legal services to clients throughout Alabama.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Moore Law Firm,,Brian W Moore,,"2740 Zelda Road,  4th Floor",Montgomery,AL,36106,(334) 293-0568,(334) 293-0568,brian@moorelawfirm.com,https://www.moorelawfirm.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.8,98,,35,English,,University of Alabama School of Law and Thomas Goode Jones School of Law,,Immigration; Elder Law; Estate Planning; Probate,,Paid Consultation,,"Brian W Moore brings 35 years of legal experience to his practice, specializing in immigration law, elder law, and estate planning. His extensive background makes him a trusted resource for complex legal matters.",,FALSE,TRUE
,,,,,legal,Immigration Attorney,Boyd F Campbell Law Office,,Boyd F Campbell,,PO Box 11032,Montgomery,AL,36111,(334) 832-9090,(334) 832-9090,info@campbelllaw.com,https://www.campbelllaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.9,121,,36,English,,"Thomas Goode Jones School of Law, Faulkner University",,Immigration; Business,,Paid Consultation,,Boyd F Campbell is a highly experienced immigration attorney with 36 years of practice. He specializes in business immigration matters and provides comprehensive legal services to individuals and corporations.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Bogdany Law,,Brian Jay Bogdany,,"165 E Magnolia Avenue,  Suite 225",Auburn,AL,36830,(334) 539-8778,(334) 539-8778,brian@bogdanylaw.com,https://www.bogdanylaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,5,35,,8,English,,Auburn University School of Law,,Immigration; Criminal,,Free Consultation,,Brian Jay Bogdany is recognized for his excellence in immigration law with a perfect 10.0 Justia rating. He specializes in immigration cases with criminal implications and provides dedicated representation to clients.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Valenzuela Law Office,,Samantha Valenzuela,,154 E Broad St,Ozark,AL,36360,(334) 774-1199,(334) 774-1199,samantha@valenzuelalaw.com,https://www.valenzuelalaw.com,https://images.unsplash.com/photo-1559894204-e8a66aadedee?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.6,74,,19,English; Spanish,,"Thomas Goode Jones School of Law, Faulkner University",,Immigration; Bankruptcy; Family; Social Security Disability,,Paid Consultation,,Samantha Valenzuela offers 19 years of experience in immigration law and related fields. She provides video conferencing options for clients and specializes in family-based immigration cases.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Shabani Law Group,,Michael Moosavi Shabani,,5500 Southlake Park suite 200-250,Birmingham,AL,35244,(886) 975-8472,(886) 975-8472,michael@shabanilaw.com,https://www.shabanilaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.7,86,,27,English; Farsi,,Birmingham School of Law,,Immigration; Criminal; Divorce; Family,,Free Consultation,,Michael Moosavi Shabani has 27 years of legal experience and offers free consultations and video conferencing. He handles complex immigration cases including those with criminal implications.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Shabani Legal Services,,Allen M Shabani,,"1320 Alford Avenue,  Suite 202",Birmingham,AL,35226,(205) 624-4044,(205) 624-4044,allen@shabanilaw.com,https://www.shabanilegal.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.6,57,,14,English; Farsi,,Miles College,,Immigration; Criminal; Divorce; Personal Injury,,Paid Consultation,,Allen M Shabani provides comprehensive legal services with 14 years of experience. He specializes in immigration law and offers video conferencing options for client convenience.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Doss Law,,Justina Doss,,2021 Tyson Drive,Birmingham,AL,35216,(205) 202-5190,(205) 202-5190,justina@dosslaw.com,https://www.dosslaw.com,https://images.unsplash.com/photo-1559894204-e8a66aadedee?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.5,42,,5,English,,University of Alabama School of Law,,Immigration; Bankruptcy; Family,,Free Consultation,,"Justina Doss is a Birmingham-based immigration lawyer who offers free consultations. Her practice also covers bankruptcy and family law matters, providing comprehensive legal services.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Chavez Law Firm,,John Adam Chavez,,"301 Beacon Pkwy W,  Suite 150",Birmingham,AL,35209,(205) 538-7359,(205) 538-7359,john@chavezlaw.com,https://www.chavezlaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.4,38,,9,English; Spanish,,Birmingham School of Law,,Immigration; Criminal; DUI; Landlord Tenant,,Paid Consultation,,"John Adam Chavez brings 9 years of experience to his immigration practice. He also handles criminal cases, DUI defense, and landlord-tenant disputes for clients throughout Alabama.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Brown Legal Counsel,,Richard Brown,,"2 Chase Corporate Drive,  Suite 120",Hoover,AL,35244,(205) 252-9321,(205) 252-9321,richard@brownlegal.com,https://www.brownlegal.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.9,142,,46,English,,University of Alabama - Tuscaloosa,,Immigration; Arbitration & Mediation; Civil Rights; Employment,,Paid Consultation,,"Richard Brown is a highly experienced attorney with 46 years of practice. His expertise spans immigration law, civil rights, and employment matters, making him a versatile advocate for his clients.",,TRUE,TRUE
,,,,,legal,Immigration Attorney,Law Office of Nicolas Andres Olano,,Nicolas Andres Olano,,"2525 Blueberry Street,  Suite 207",Anchorage,AK,99503,(907) 770-0909,(907) 770-0909,contact@olanolaw.com,https://www.olanolaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,5,87,,23,English; Spanish,,University of Miami School of Law and Universidad de los Andes,,Immigration,,Paid Consultation,,Nicolas Andres Olano is a highly rated immigration attorney with extensive experience in all aspects of immigration law. He offers video conferencing options for client convenience.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Nations Law Group,,Lara Erin Nations,,"2525 Blueberry Road,  Suite 207",Anchorage,AK,99503,(907) 770-0909,(907) 770-0909,lara@nationslaw.com,https://www.nationslaw.com,https://images.unsplash.com/photo-1559894204-e8a66aadedee?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,5,58,,9,English; Spanish,,University of Alaska School of Law,,Immigration; Family Law,,Paid Consultation,,Lara Erin Nations is an experienced immigration attorney serving clients throughout Alaska. She provides comprehensive immigration services with a focus on family-based immigration matters.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Elias Mendoza Law,,Elias Mendoza,,"1017 S Gilbert Road,  Ste 208b",Mesa,AZ,85204,(480) 666-5553,(480) 666-5553,contact@mendozalaw.com,https://www.mendozalaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,5,42,,13,English; Spanish,,Arizona State University,,Immigration,,Free Consultation,,"Elias Mendoza is a highly-rated immigration attorney with 13 years of experience serving clients in Mesa, Arizona and surrounding areas.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Millan Law Firm,,Ayensa Millan,,"350 E Virginia Ave,  Suite 100",Phoenix,AZ,85004,(623) 377-4191,(623) 377-4191,contact@millanlaw.com,https://www.millanlaw.com,https://images.unsplash.com/photo-1559894204-e8a66aadedee?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.8,36,,12,English; Spanish,,Arizona State University,,Immigration; Criminal; Personal Injury,,Free Consultation,,"Ayensa Millan focuses on immigration, criminal, and personal injury cases. With 12 years of experience, she offers comprehensive legal services to clients throughout Phoenix.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Harwin Law Office,,Michael Harwin,,100 N Stone Ave #1005,Tucson,AZ,85701,(800) 760-2986,(800) 760-2986,contact@harwinlaw.com,https://www.harwinlaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.9,67,,31,English,,University of Arizona,,Immigration; Criminal; DUI; Domestic Violence,,Paid Consultation,,"Michael Harwin brings 31 years of experience to his practice, specializing in immigration law alongside criminal defense, DUI cases, and domestic violence matters.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Tocchini Law,,Ronald John Tocchini,,2390 East Camelback Road Suite 130,Phoenix,AZ,85016,(602) 648-2202,(602) 648-2202,contact@tocchinilaw.com,https://www.tocchinilaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,5,45,,28,English,,Brigham Young University,,Immigration; Business; International,,Paid Consultation,,Ronald John Tocchini is a highly-rated immigration attorney with expertise in business and international law. He offers video conferencing services for client convenience.,,TRUE,FALSE
,,,,,legal,Immigration Attorney,Padda Law Firm,,Paul S. Padda,,"4742 N 24th St,  #300-126",Phoenix,AZ,85016,(602) 428-9999,(602) 428-9999,contact@paddalaw.com,https://www.paddalaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.7,59,,30,English,,London School of Economics and University of Illinois College of Law,,Immigration,,Free Consultation,,Paul S. Padda provides dedicated immigration services with 30 years of legal experience. His international education background gives him a unique perspective on immigration matters.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Grimes Law Office,,Ashley Grimes,,"4140 E. Baseline Rd.,  Suite 101",Mesa,AZ,85206,(602) 828-4096,(602) 828-4096,contact@grimeslaw.com,https://www.grimeslaw.com,https://images.unsplash.com/photo-1559894204-e8a66aadedee?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.6,32,,11,English,,Arizona Summit Law School,,Immigration; Business; Workers' Comp,,Paid Consultation,,"Ashley Grimes specializes in immigration law, business matters, and workers' compensation cases. Her Mesa-based practice serves clients throughout Arizona.",,FALSE,FALSE
